01/01; Новый год
02/01; Луноход "Луна-1" совершил посадку на Луну (в 1959 году)

06/01; Рождественский сочельник
07/01; Рождество Христово (православное)
07/01; Открытие Юпитера Г.Галилеем (в 1610 году)

09/01; Кровавое воскресенье. Начало первой российской революции (в 1905 году)

11/01; День заповедников
11/01; Всемирный день "спасибо"
12/01; Декларация прав трудящихся и эксплуатируемого народа (в 1918 году)
13/01; День российской печати
14/01; Старый Новый год

17/01; День Зосимы (последние святочные гадания)
18/01; Крещенский сочельник
19/01; Святое богоявление. Крещение Господне
20/01; День Иоанна Крестителя
21/01; День инженерных войск

25/01; Татьянин день (день студентов)

27/01; Всемирный день таможенника
27/01; День воинской славы России. День снятия блокады города Ленинграда (в 1944 году)
28/01; Международный день мобилизации против ядерной войны
28/01; Катастрофа космического корабля "Челленджер" (в 1986 году)
29/01; День изобретения автомобиля


02/02; День воинской славы России. День разгрома советскими войсками немецко-фашистских войск в Сталинградской битве (в 1943 году)

08/02; День российской науки
09/02; День создания Гражданской авиации (в 1923 году)
10/02; День памяти А.С.Пушкина
11/02; Всемирный день больного

14/02; День Святого Валентина (День Всех влюбленных)
15/02; Сретение Господне

19/02; Манифест об освобождении крестьян от крепостной зависимости (в 1861 году)

22/02; Указ об отпуске помещиком своих крестьян на волю по заключению условий на обоюдное согласие о вольных хлебопашцах (в 1803 году)
23/02; День воинской славы России. День победы Красной Армии над кайзеровскими войсками Германии - День защитников Отечества (в 1918 году)

26/02; День Мартиниана - укротителя страстей

28/02; День Калевалы
28/02; В Нижнем Тагиле открыто трамвайное движение (в 1937 году)
Вс2/02; День Аэрофлота


01/03; Всемирный день гражданской обороны
01/03; День создания криминалистической службы в России (в 1919 году)
01/03; Международный день борьбы с наркоманией и наркобизнесом

08/03; Международный женский день

15/03; Всемирный день прав потребителя

18/03; День Парижской коммуны
18/03; День налоговой полиции
18/03; Алексей Леонов впервые в мире вышел в открытый космос (в 1965 году)
19/03; День работников торговли
19/03; День моряка-подводника России

21/03; Всемирный день земли
21/03; День весеннего равноденствия
21/03; Международный день борьбы за ликвидацию расовой дискриминации
22/03; Всемирный день воды
23/03; Всемирный день метеоролога
24/03; Всемирный день борьбы с туберкулезом
24/03; Войска НАТО напали на Югославию (в 1999 году)

27/03; Международный день театра
27/03; День внутренних войск МВД РФ
Вс2/03; День работников геодезии и картографии (с 2000 года)
Вс3/03; День работников торговли, бытового обслуживания населения и жилищно-коммунального хозяйства


01/04; День смеха
01/04; Международный день птиц
02/04; День единения народов
02/04; Международный день детской книги

04/04; Международный день настройщиков фортепиано
04/04; создано муниципальное унитарное предприятие «Тагилдорстрой» (в 2003 году)

07/04; Всемирный день здоровья
07/04; Благовещение Пресвятой Богородицы

12/04; День космонавтики
13/04; Всемирный день рок-н-ролла

18/04; Международный день памятников и исторических мест
18/04; День воинской славы России. День победы русских воинов князя Александра Невского над немецкими рыцарями на Чудском озере. Ледовое побоище (в 1242 году)
19/04; День принятия Крыма, Тамани и Кубани в состав Российской империи (в 1783 году)
20/04; Национальный день донора крови
21/04; День Тихоокеанского флота России
21/04; День местного самоуправления
22/04; Международный День Матери-Земли
22/04; День рождения В.И.Ленина, вождя мирового пролетариата (в 1870 году)
23/04; Всемирный день книг и авторского права
23/04; День велосипеда
24/04; Международный день солидарности молодежи

26/04; День памяти погибших в радиационных авариях и катастрофах

28/04; День работника скорой медицинской помощи
29/04; Международный день танца
30/04; Международный день джаза
30/04; День пожарной охраны
30/04; Вальпургиева ночь
Вс1/04; День геолога
Вс2/04; День войск противовоздушной обороны страны
Вс5/04; Всемирный день породненных городов


01/05; Праздник Весны и Труда
02/05; Всемирный день тунца
03/05; Всемирный день свободы печати
03/05; Международный день молчания
03/05; Международный День Солнца "Sun Day" (учрежден в 1994 году)
03/05; День кондитера

05/05; Международный день акушерки (1992)
05/05; Международный день борьбы за права инвалидов (1992)
06/05; День Святого Георгия Победоносца
07/05; День радио, праздник работников Всех отраслей связи
08/05; Всемирный день Красного Креста и Красного Полумесяца
09/05; Авиакатастрофа на Театральной площади: самолет Як-52 упал на площадь (в 1993 году)
09/05; День воинской славы России. День Победы советского народа в Великой Отечественной войне 1941-1945 годов
10/05; День чистой комнаты

13/05; День Черноморского флота ВМФ (1783)
14/05; День фрилансера в России (2005)
15/05; Международный день семей (1994)
16/05; Международный день света
17/05; Всемирный день электросвязи и информационного общества
17/05; День промышленного альпиниста
18/05; Международный день музеев
18/05; День Балтийского флота ВМФ (1703)

20/05; Всемирный день пчёл
20/05; Всемирный день метрологии (1999)

21/05; Всемирный день культурного разнообразия во имя диалога и развития
21/05; День образования Тихоокеанского флота ВМФ РФ (1731)
21/05; День защиты от безработицы
21/05; День работника БТИ (инвентаризатора)
21/05; День военного переводчика
21/05; День полярника
22/05; Международный день биологического разнообразия (2003)
22/05; День рождения технологии "Ethernet" (1973)
23/05; Международный день спортивной борьбы
24/05; День славянской письменности и культуры
25/05; День освобождения Африки
26/05; День российского предпринимательства
27/05; Общероссийский День библиотек
28/05; День пограничных войск
29/05; Международный день миротворцев ООН
29/05; Всемирный день здорового пищеварения
29/05; День военного автомобилиста
29/05; День ветеранов таможенной службы (1999)

31/05; День отказа от табакокурения
Вс5/05; День химика


01/06; Международный день защиты детей
02/06; День здорового питания и отказа от излишеств в еде (2011)
03/06; Всемирный день велосипеда (2018)
04/06; Международный день невинных детей — жертв агрессии
04/06; Международный день борьбы с кариесом (с 2013)
04/06; День крановщика (с 2014)
05/06; Всемирный день охраны окружающей среды
05/06; Международный день борьбы с незаконным, несообщаемым и нерегулируемым рыбным промыслом (с 2018)
05/06; День образования полиции (1718)
05/06; День создания государственной службы карантина растений (1931)
05/06; День эколога (2007)
06/06; День русского языка, Пушкинский день России (2010)
07/06; Всемирный день безопасности пищевых продуктов
07/06; День краудфандинга
08/06; Всемирный день океанов (2009)
08/06; День социального работника (2000)

10/06; Всемирный день модерна (2013)
10/06; Международный день геральдики (2013)
11/06; Всероссийский День борьбы с рассеянным склерозом (2009)
12/06; День России (до 2002 года — День принятия Декларации о государственном суверенитете Российской Федерации в 1990 году)
12/06; Международный день борьбы с детским трудом (2002)

13/06; День швейной машинки (1790)
14/06; Всемирный день донора крови (2005)
14/06; День работников миграционной службы (1992)
15/06; Всемирный день распространения информации о злоупотреблении в отношении с пожилыми людьми (2011)
15/06; Всемирный день ветра (Global Wind Day, 2007)
15/06; День юннатского движения (1918)
16/06; День защиты детей Африки (1991)
16/06; Международный день семейных денежных переводов (2015)
17/06; Всемирный день борьбы с опустыниванием и засухой (1995)
17/06; Открылся кинотеатр "Родина" (в 1958 году)
18/06; День устойчивой гастрономии
18/06; День службы военных сообщений ВС
19/06; Международный день борьбы с сексуальным насилием в условиях конфликта (2015)
20/06; Всемирный день беженцев (2001)
20/06; День специалистов минно-торпедной службы ВМФ (1997)
